Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
9354.0,2.0,2014.0,2.0,361.0,3.27,1.37,2.43,0.48,7.55,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
9270.0,26.0,2010.0,4.0,361.0,3.56,2.35,0.98,0.62,7.51,97.0,87.0,88.0,1854.0,1009.0,1.0
9266.0,11.0,1988.0,4.0,361.0,5.39,1.18,0.7,0.19,7.46,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
1225.0,30.0,2015.0,8.0,21.0,4.59,2.11,0.01,0.68,7.39,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
1238.0,28.0,2008.0,8.0,21.0,4.81,1.88,0.0,0.69,7.38,84.0,84.0,73.0,580.0,1499.0,5.0
725.0,28.0,2011.0,8.0,139.0,4.46,2.11,0.06,0.69,7.32,84.0,57.0,71.0,2142.0,430.0,5.0
6622.0,16.0,2003.0,6.0,139.0,3.27,2.83,0.08,1.02,7.2,85.0,33.0,83.0,171.0,422.0,1.0
4657.0,26.0,2009.0,3.0,527.0,3.48,2.99,0.0,0.73,7.2,49.0,21.0,77.0,110.0,1535.0,2.0
725.0,17.0,2011.0,8.0,139.0,2.85,2.89,0.35,1.08,7.17,85.0,38.0,72.0,1761.0,430.0,5.0
2961.0,18.0,2015.0,7.0,66.0,2.53,3.27,0.24,1.13,7.16,87.0,58.0,62.0,4228.0,173.0,5.0
9590.0,15.0,1998.0,2.0,457.0,3.27,2.22,1.4,0.29,7.16,96.0,15.0,88.0,367.0,967.0,7.0
9899.0,26.0,2006.0,0.0,361.0,3.74,2.14,0.6,0.68,7.15,95.0,73.0,87.0,1658.0,1008.0,7.0
7300.0,2.0,2016.0,7.0,361.0,2.98,1.45,2.26,0.45,7.14,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
1653.0,15.0,1998.0,4.0,457.0,3.68,1.75,1.42,0.28,7.13,91.0,12.0,86.0,432.0,977.0,1.0
5532.0,27.0,2014.0,6.0,361.0,3.15,2.15,1.28,0.51,7.09,88.0,82.0,88.0,1599.0,1008.0,1.0
9353.0,7.0,2001.0,2.0,361.0,4.41,1.04,1.39,0.22,7.07,92.0,38.0,88.0,568.0,628.0,7.0
5535.0,7.0,2003.0,6.0,361.0,4.12,1.77,0.87,0.19,6.95,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
6623.0,16.0,2004.0,6.0,139.0,2.71,3.02,0.08,1.09,6.9,82.0,39.0,83.0,132.0,424.0,1.0
5656.0,16.0,2002.0,8.0,139.0,2.93,2.75,0.17,0.99,6.83,88.0,29.0,82.0,135.0,434.0,7.0
1650.0,15.0,1996.0,4.0,457.0,3.23,2.35,0.94,0.3,6.82,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
4665.0,26.0,2012.0,3.0,527.0,4.05,2.16,0.0,0.55,6.76,74.0,10.0,70.0,28.0,1524.0,2.0
3482.0,28.0,2008.0,8.0,325.0,4.15,1.9,0.06,0.64,6.75,93.0,90.0,74.0,2739.0,485.0,5.0
10552.0,17.0,2011.0,0.0,457.0,2.77,2.75,0.19,1.03,6.74,92.0,97.0,80.0,3712.0,977.0,7.0
11367.0,26.0,2010.0,10.0,6.0,3.45,2.59,0.0,0.66,6.71,68.9971185166625,26.440992232523175,95.0,163.0088459991958,1098.0,1.0
1221.0,17.0,2007.0,8.0,21.0,3.11,2.26,0.28,1.03,6.68,94.0,44.0,81.0,993.0,717.0,5.0
10551.0,17.0,2009.0,0.0,457.0,3.27,2.2,0.21,0.98,6.66,96.0,105.0,85.0,5187.0,977.0,7.0
2902.0,17.0,2011.0,10.0,139.0,0.84,4.3,0.11,1.39,6.65,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
801.0,4.0,2005.0,3.0,361.0,1.66,2.75,1.6,0.62,6.62,74.0,45.0,71.0,27.0,1008.0,1.0
9882.0,11.0,1986.0,0.0,361.0,3.74,0.93,1.69,0.14,6.51,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
7773.0,17.0,2010.0,0.0,496.0,2.79,2.53,0.17,0.99,6.49,95.0,73.0,85.0,2456.0,1209.0,5.0
2903.0,17.0,2013.0,10.0,139.0,0.78,4.24,0.07,1.37,6.47,86.0,37.0,40.0,576.0,424.0,1.0
492.0,17.0,2012.0,0.0,527.0,2.64,2.52,0.16,1.12,6.45,85.0,41.0,66.0,1307.0,1524.0,5.0
2311.0,26.0,2010.0,4.0,361.0,3.17,1.79,1.03,0.46,6.44,87.0,77.0,83.0,368.0,1198.0,1.0
3865.0,29.0,2001.0,8.0,325.0,4.98,1.3,0.08,0.07,6.43,97.0,68.0,83.0,1283.0,253.0,5.0
9737.0,17.0,2011.0,7.0,66.0,2.55,2.6,0.25,1.0,6.41,92.0,16.0,61.0,2527.0,173.0,5.0
7311.0,6.0,2004.0,7.0,361.0,2.57,1.58,2.06,0.21,6.41,76.0,28.0,87.0,222.0,571.0,1.0
4900.0,16.0,2002.0,7.0,457.0,3.64,1.2,1.49,0.07,6.4,85.0,46.0,85.0,597.0,1356.0,1.0
7310.0,5.0,2000.0,7.0,361.0,2.55,1.56,1.29,0.99,6.39,68.9971185166625,26.440992232523175,74.72725424418013,163.0088459991958,835.0500807754443,3.558615746902836
3860.0,28.0,2009.0,8.0,325.0,4.34,1.34,0.06,0.61,6.34,83.0,94.0,68.0,1163.0,254.0,5.0
7773.0,28.0,2010.0,0.0,496.0,3.7,1.95,0.09,0.58,6.32,95.0,96.0,87.0,2316.0,1209.0,5.0
